RA,DEC,USNO-B1.0,RAJ2000,DEJ2000,errHalfMaj,errHalfMin,errPosAng,Bmag1,Rmag1,Bmag2,Rmag2,Imag,Epoch,pmRA,pmDE,e_pmRA,e_pmDE,Flags,B1s/g,R1s/g,B2s/g,R2s/g,Is/g,angDist
345,60,1499-0036148,344.998487,59.99962,0.262,0.205,0.0,,18.86,20.71,19.03,18.01,1982.1,6,6,1,7,...,,4,3,4,,3.047761
345,60,1499-0036147,344.995089,59.999298,0.334,0.239,0.0,,18.7,20.76,18.78,17.81,1982.1,14,-14,5,11,...,,7,2,3,,9.193975
345,60,1499-0036147,344.994578,59.998473,0.28,0.213,90.0,,19.29,,19.17,17.94,1979.7,10,10,7,2,...,,4,,4,,11.201587
345,60,1500-0035840,344.997828,60.005362,0.225,0.201,0.0,,18.69,20.79,18.94,18.22,1982.1,2,-4,0,4,...,,4,3,4,,19.695193
345,60,1499-0036152,345.011578,59.998273,0.424,0.242,90.0,,18.82,20.62,19.08,17.97,1982.1,16,-16,15,5,...,,9,5,3,,21.748657
345,60,1499-0036151,345.008,59.994831,0.205,0.201,0.0,,19.29,,19.07,,1972.7,0,0,0,0,...,,8,,2,,23.530069
345,60,1499-0036145,344.987081,59.998925,0.235,0.21,90.0,19.45,17.61,19.57,17.75,16.79,1976.5,0,0,0,0,..Y,0,4,1,3,,23.574326
345,60,1499-0036152,345.01392,59.99915,0.271,0.204,0.0,,19.17,20.84,18.79,18.23,1982.1,0,0,0,0,...,,2,1,4,,25.242588
345,60,1500-0035837,344.984198,60.001603,0.221,0.221,90.0,20.05,17.86,20.45,17.7,16.68,1976.5,8,-8,3,3,...,0,8,7,4,,29.022268
345,60,1499-0036145,344.986589,59.995453,0.293,0.22,0.0,,18.92,,18.5,17.06,1979.7,0,0,0,0,...,,3,,8,,29.16787
345,60,1499-0036147,344.994162,59.991898,0.374,0.291,90.0,,19.1,,19.12,18.13,1979.7,0,0,0,0,...,,5,,1,,31.003039
345,60,1499-0036151,345.008745,59.992573,0.211,0.204,0.0,,18.66,20.53,18.88,17.86,1982.1,0,0,0,0,...,,3,7,8,,31.027498
345,60,1499-0036150,345.006189,59.991189,0.824,0.483,0.0,19.84,,,19.46,18.13,1979.7,-168,460,16,29,...,0,,,1,,33.619545
345,60,1500-0035843,345.012584,60.00707,0.225,0.205,90.0,,,,19.07,18.05,1992.6,0,0,0,0,...,,,,4,,34.069915
345,60,1500-0035842,345.008259,60.010531,0.221,0.207,0.0,17.98,16.31,18.25,16.3,15.67,1976.5,0,0,0,0,..Y,0,4,9,9,,40.72115
345,60,1499-0036147,344.994687,59.988928,0.262,0.2,90.0,20.04,17.59,20.1,17.68,16.77,1976.5,-2,4,5,0,...,0,4,6,9,,40.990897
345,60,1500-0035843,345.014825,60.00867,1.019,0.233,90.0,,,,19.09,18.3,1992.6,0,0,0,0,...,,,,4,,41.062093
345,60,1499-0036154,345.022839,59.997937,0.473,0.224,0.0,,19.22,,,18.58,1973.7,0,0,0,0,...,,8,,,,41.777069
345,60,1500-0035843,345.016539,60.00872,0.281,0.231,0.0,,18.69,20.41,19.07,18.03,1982.1,0,0,0,0,...,,7,8,8,,43.260933
345,60,1500-0035839,344.994573,60.012109,0.206,0.204,90.0,19.71,18.2,19.91,18.26,17.84,1976.5,-6,-6,1,1,...,0,4,7,4,,44.673222
345,60,1499-0036154,345.020209,59.992673,0.239,0.225,0.0,,,,19.43,18.41,1992.6,0,0,0,0,...,,,,2,,44.936398
345,60,1500-0035837,344.984484,60.009878,0.268,0.203,0.0,,18.87,20.79,19.18,18.5,1982.1,6,-4,1,7,...,,4,2,8,,45.214708
345,60,1500-0035844,345.019389,60.008092,0.244,0.241,0.0,,17.65,20.66,17.42,16.31,1982.1,-4,-16,5,5,...,,7,3,7,,45.45714
345,60,1499-0036155,345.024789,59.995903,0.461,0.452,0.0,,19.15,,,18.53,1973.7,0,0,0,0,...,,8,,,,46.997461
345,60,1499-0036153,345.016431,59.989387,0.234,0.201,90.0,17.06,15.45,17.34,15.74,15.28,1976.5,4,2,4,0,..Y,0,2,10,9,,48.319441
345,60,1499-0036145,344.987284,59.988159,0.224,0.202,90.0,19.63,18.17,19.81,17.92,17.41,1976.5,0,0,0,0,..Y,0,3,9,9,,48.38615
345,60,1500-0035841,345.003484,60.01335,0.205,0.204,90.0,18.93,17.05,18.89,17.05,16.71,1976.5,0,0,0,0,..Y,0,4,9,9,,48.467302
345,60,1499-0036144,344.983689,59.989284,0.331,0.203,90.0,,19.11,20.81,19.23,18.27,1982.1,0,0,0,0,...,,8,1,8,,48.481855
345,60,1499-0036148,344.995978,59.986456,0.465,0.259,90.0,,,,19.59,18.62,1992.6,0,0,0,0,...,,,,3,,49.292991
345,60,1499-0036156,345.02737,59.999528,0.245,0.236,0.0,,18.44,,18.63,17.44,1979.7,0,0,0,0,...,,7,,8,,49.295596
345,60,1500-0035844,345.016917,60.010912,0.297,0.232,90.0,,19.3,,19.4,18.25,1979.7,0,0,0,0,...,,10,,8,,49.699953
345,60,1500-0035836,344.977303,60.0082,0.611,0.217,90.0,,15.55,,16.06,,1972.7,0,0,0,0,...,,2,,3,,50.399616
345,60,1499-0036156,345.028489,59.997453,0.224,0.203,90.0,17.85,16.21,18.28,16.35,15.39,1976.5,0,0,0,0,..Y,0,3,9,8,,52.095663
345,60,1500-0035845,345.027242,60.005842,0.254,0.222,90.0,,18.64,20.68,18.85,17.98,1982.1,0,0,0,0,...,,9,3,4,,53.351313
345,60,1500-0035836,344.973981,60.007898,0.2,0.2,90.0,13.22,11.95,12.79,11.91,11.55,2000.0,20,-12,0,0,...,,,,,,54.784609
345,60,1500-0035837,344.983962,60.013298,0.236,0.223,0.0,,,20.28,18.98,18.2,1991.6,0,0,0,0,...,,,6,8,,55.90045
345,60,1499-0036141,344.969223,59.997731,0.233,0.203,90.0,,19.33,,19.4,18.13,1979.7,0,0,0,0,...,,4,,1,,55.999423
345,60,1500-0035843,345.013453,60.01457,0.26,0.228,90.0,,19.02,20.77,19.21,18.26,1982.1,0,0,0,0,...,,2,2,1,,57.76971
345,60,1499-0036155,345.024567,59.989653,0.227,0.222,90.0,18.63,16.03,18.56,16.41,15.49,1976.5,0,0,0,0,...,0,9,8,9,,57.82353
345,60,1499-0036143,344.980781,59.987114,0.216,0.204,90.0,19.7,18.19,20.54,18.79,18.25,1976.5,0,0,0,0,...,0,4,2,4,,57.872497
